yc0,P0,ycf,Pf,rhoco,rhome,ycf_s,Pf_s,rhoco_s,rhome_s
0.4,130,0.39302358975699625,122.50731941192747,0.001476435464,0.002280172288,0.025003423704673587,14.152967127437426,0.00014739603055095038,0.00013560719667243717
0.4,135,0.39389927544090214,128.26373569815897,0.0015607916159999999,0.0024016213999999998,0.021296059578040743,14.474753629849868,0.00013613808117341944,0.000148917683388562
0.4,140,0.4002289651171231,134.02611345088678,0.001707859928,0.002559347288,0.01983520032396194,16.657445849912207,0.00014271821598703795,0.00017176352361734156
0.4,145,0.39557537056817366,140.75730215182966,0.001758308256,0.0026866304,0.02150602117952611,16.086348212257192,0.0001479863901593064,0.00014482684734581499
0.4,150,0.3962464852925479,143.53062113314692,0.0018289047119999999,0.0027866686239999996,0.01866177596665158,18.202832150378864,0.0001618281040723553,0.00016643236193421827
0.4,155,0.3983139716426779,150.00196235366514,0.0019310163360000002,0.002916959064,0.01996253323215041,19.615424324669924,0.00015167510291719965,0.0001486503365312972
0.4,160,0.4039512118671453,158.40708314625974,0.002081570128,0.003071453472,0.020934462003754307,20.46687488554074,0.0001666849156741414,0.0001720738997025906
0.4,165,0.4002225924863932,156.95757329073524,0.0020819728240000003,0.0031200644,0.01948631295144824,20.410218854851337,0.00016503615034839194,0.0001664770591254903
0.4,170,0.40670162739469246,163.66357736068014,0.002193227024,0.0031994905759999996,0.020325120259289398,21.572972457653016,0.000188807927004285,0.00014322227817952144
0.4,175,0.4033749954271464,170.92468627864832,0.0022704573360000004,0.00335819432,0.020093272534856425,21.598372763338514,0.00018835357813119216,0.0001666823151159402
0.4,180,0.40273611628450773,175.67646691049362,0.0023367664000000002,0.00346546068,0.017445079151895332,24.03990036490233,0.0001923325253721585,0.00017440424401309046
0.4,185,0.4046706943601299,178.89919736877178,0.0024093186,0.003544457232,0.016463483241894783,22.37526278421383,0.00014418678346053772,0.0001556389029048527
0.4,190,0.40293993267767325,184.2030852113791,0.002493429664,0.0036946630559999997,0.015774688358637403,24.728414697612937,0.00019394782758500574,0.0002134023509400889
0.4,195,0.41644339887990994,190.4692936145041,0.00270871508,0.0037956864480000003,0.015760169063408835,26.127087859981877,0.00015835399244068843,0.00014796964835162412
0.4,200,0.41255712381269555,195.49301464323685,0.0027009472,0.0038458969679999997,0.015864046660011205,24.72663848115804,0.00018707565856703002,0.00015983167775258754
0.4,5,0.40355657256953154,-11181224.463756867,4.6256568e-05,6.8365696e-05,0.04787050978187871,5367748.58612445,7.50458781475545e-06,8.368961111367647e-06
0.4,10,0.39763134872939215,9.931741642849689,9.180314400000001e-05,0.00013907187199999998,0.0430119275033485,0.8940392275058507,1.3335647051240672e-05,1.5744312333779967e-05
0.4,15,0.3972284958658172,14.914790905834185,0.000139214456,0.000211249968,0.04130347169662044,1.369500651195824,1.982037478999991e-05,2.3830611256595498e-05
0.4,20,0.3990478653739485,19.792683988002914,0.000187462944,0.00028231264,0.03945056055595795,1.8256179531363297,2.573403940878431e-05,3.1559112980792094e-05
0.4,25,0.39694242723486206,24.788586741425895,0.00023615937600000002,0.00035878679199999997,0.03846291858574984,2.2465493460272685,3.211827011821502e-05,3.790571160441043e-05
0.4,30,0.39664619465896006,29.51161758942138,0.00028508656800000005,0.00043365615999999994,0.03791211301006262,2.505182022664192,3.715154570692014e-05,4.292150032315273e-05
0.4,35,0.39602812747876004,34.626106130675055,0.000336492728,0.000513176032,0.03620003038561616,3.03409337987362,4.260761100514808e-05,5.0768456424033374e-05
0.4,40,0.3963330333966515,39.405931262118415,0.000386670136,0.000588949112,0.03557942744749116,3.5062697255726367,4.803374872680149e-05,5.7953926773424556e-05
0.4,45,0.39642755025688237,44.071541022975254,0.000439074928,0.0006685043199999999,0.03305577029568365,3.8881691905818054,5.1942742250008484e-05,6.17384724441543e-05
0.4,50,0.3955953824732479,49.29955224501461,0.000495117544,0.000756458096,0.032340042903737695,4.318332757049779,6.085613602232781e-05,6.861417312216758e-05
