exp,yco,p_bar,t_c,s_box,n_moves,n_equil,n_prod
142,0.4,120.02000000000001,1.8770000000000095,34,1000,1000000,100000
143,0.4,100,1.875,34,1000,1000000,100000
144,0.4,80,1.8760000000000332,34,1000,1000000,100000
145,0.4,60.010000000000005,1.8760000000000332,34,1000,1000000,100000
146,0.4,40.03999999999999,1.875,34,1000,1000000,100000
147,0.4,19.88,1.875,34,1000,1000000,100000
148,0.4,9.93,1.8740000000000236,34,1000,1000000,100000
149,0.4,194.76,26.80600000000004,34,1000,1000000,100000
150,0.4,189.98999999999998,26.809000000000026,34,1000,1000000,100000
151,0.4,180.59,26.813000000000045,34,1000,1000000,100000
152,0.4,170.09,26.812000000000012,34,1000,1000000,100000
153,0.4,159.98,26.813000000000045,34,1000,1000000,100000
154,0.4,150.01,26.814999999999998,34,1000,1000000,100000
155,0.4,141.54999999999998,26.812000000000012,34,1000,1000000,100000
156,0.4,129.99,26.81400000000002,34,1000,1000000,100000
157,0.4,119.99000000000001,26.812000000000012,34,1000,1000000,100000
158,0.4,110.22,26.811000000000035,34,1000,1000000,100000
159,0.4,100.02000000000001,26.812000000000012,34,1000,1000000,100000
160,0.4,90.03999999999999,26.812000000000012,34,1000,1000000,100000
161,0.4,80,26.811000000000035,34,1000,1000000,100000
162,0.4,70.14999999999999,26.809000000000026,34,1000,1000000,100000
163,0.4,59.980000000000004,26.80800000000005,34,1000,1000000,100000
164,0.4,49.89,26.80800000000005,34,1000,1000000,100000
165,0.4,39.93,26.805000000000007,34,1000,1000000,100000
166,0.4,30.019999999999996,26.80600000000004,34,1000,1000000,100000
167,0.4,19.93,26.805000000000007,34,1000,1000000,100000
168,0.4,9.97,26.80800000000005,34,1000,1000000,100000
169,0.4,189.44,51.82800000000003,34,1000,1000000,100000
170,0.4,180.01999999999998,51.83200000000005,34,1000,1000000,100000
171,0.4,160.07000000000002,51.83200000000005,34,1000,1000000,100000
172,0.4,140.17,51.83000000000004,34,1000,1000000,100000
173,0.4,120.12,51.83100000000002,34,1000,1000000,100000
174,0.4,99.99000000000001,51.83100000000002,34,1000,1000000,100000
175,0.4,80.02000000000001,51.83100000000002,34,1000,1000000,100000
176,0.4,60.010000000000005,51.83100000000002,34,1000,1000000,100000
177,0.4,40,51.83100000000002,34,1000,1000000,100000
178,0.4,19.91,51.83200000000005,34,1000,1000000,100000
179,0.4,196.05,76.80700000000002,34,1000,1000000,100000
180,0.4,189.95999999999998,76.80700000000002,34,1000,1000000,100000
181,0.4,179.83,76.80700000000002,34,1000,1000000,100000
182,0.4,170.07000000000002,76.80600000000004,34,1000,1000000,100000
183,0.4,159.99,76.80600000000004,34,1000,1000000,100000
184,0.4,151.09,76.80900000000003,34,1000,1000000,100000
185,0.4,139.96,76.81100000000004,34,1000,1000000,100000
186,0.4,129.93,76.81,34,1000,1000000,100000
187,0.4,121.03999999999999,76.81100000000004,34,1000,1000000,100000
188,0.4,109.97999999999999,76.81,34,1000,1000000,100000
189,0.4,99.92000000000002,76.81,34,1000,1000000,100000
190,0.4,89.99000000000001,76.81100000000004,34,1000,1000000,100000
191,0.4,79.96000000000001,76.81200000000001,34,1000,1000000,100000
192,0.4,69.96000000000001,76.81200000000001,34,1000,1000000,100000
193,0.4,59.96000000000001,76.81200000000001,34,1000,1000000,100000
194,0.4,49.97,76.81100000000004,34,1000,1000000,100000
195,0.4,40.06,76.81200000000001,34,1000,1000000,100000
196,0.4,29.97,76.81100000000004,34,1000,1000000,100000
197,0.4,19.94,76.81100000000004,34,1000,1000000,100000
198,0.4,9.97,76.81200000000001,34,1000,1000000,100000
199,0.4,199.06,101.80000000000001,34,1000,1000000,100000
200,0.4,189.89000000000001,101.80100000000004,34,1000,1000000,100000
201,0.4,179.89999999999998,101.798,34,1000,1000000,100000
202,0.4,169.92000000000002,101.80000000000001,34,1000,1000000,100000
203,0.4,159.43,101.80100000000004,34,1000,1000000,100000
204,0.4,149.92000000000002,101.80200000000002,34,1000,1000000,100000
205,0.4,139.93,101.79900000000004,34,1000,1000000,100000
206,0.4,129.92000000000002,101.798,34,1000,1000000,100000
207,0.4,119.5,101.79900000000004,34,1000,1000000,100000
208,0.4,110.09,101.80100000000004,34,1000,1000000,100000
209,0.4,99.97,101.80100000000004,34,1000,1000000,100000
