exp,yco,p_bar,t_c,s_box,n_moves,n_equil,n_prod
285,0.6,120,30,34,1000,1000000,100000
286,0.7,120,30,34,1000,1000000,100000
287,0.8,120,30,34,1000,1000000,100000
288,0.9,120,30,34,1000,1000000,100000
289,0.1,130,30,34,1000,1000000,100000
290,0.2,130,30,34,1000,1000000,100000
291,0.3,130,30,34,1000,1000000,100000
292,0.4,130,30,34,1000,1000000,100000
293,0.5,130,30,34,1000,1000000,100000
294,0.6,130,30,34,1000,1000000,100000
295,0.7,130,30,34,1000,1000000,100000
296,0.8,130,30,34,1000,1000000,100000
297,0.9,130,30,34,1000,1000000,100000
298,0.1,140,30,34,1000,1000000,100000
299,0.2,140,30,34,1000,1000000,100000
300,0.3,140,30,34,1000,1000000,100000
301,0.4,140,30,34,1000,1000000,100000
302,0.5,140,30,34,1000,1000000,100000
303,0.6,140,30,34,1000,1000000,100000
304,0.7,140,30,34,1000,1000000,100000
305,0.8,140,30,34,1000,1000000,100000
306,0.9,140,30,34,1000,1000000,100000
307,0.1,150,30,34,1000,1000000,100000
308,0.2,150,30,34,1000,1000000,100000
309,0.3,150,30,34,1000,1000000,100000
310,0.4,150,30,34,1000,1000000,100000
311,0.5,150,30,34,1000,1000000,100000
312,0.6,150,30,34,1000,1000000,100000
313,0.7,150,30,34,1000,1000000,100000
314,0.8,150,30,34,1000,1000000,100000
315,0.9,150,30,34,1000,1000000,100000
316,0.1,160,30,34,1000,1000000,100000
317,0.2,160,30,34,1000,1000000,100000
318,0.3,160,30,34,1000,1000000,100000
319,0.4,160,30,34,1000,1000000,100000
320,0.5,160,30,34,1000,1000000,100000
321,0.6,160,30,34,1000,1000000,100000
322,0.7,160,30,34,1000,1000000,100000
323,0.8,160,30,34,1000,1000000,100000
324,0.9,160,30,34,1000,1000000,100000
325,0.1,170,30,34,1000,1000000,100000
326,0.2,170,30,34,1000,1000000,100000
327,0.3,170,30,34,1000,1000000,100000
328,0.4,170,30,34,1000,1000000,100000
329,0.5,170,30,34,1000,1000000,100000
330,0.6,170,30,34,1000,1000000,100000
331,0.7,170,30,34,1000,1000000,100000
332,0.8,170,30,34,1000,1000000,100000
333,0.9,170,30,34,1000,1000000,100000
334,0.1,180,30,34,1000,1000000,100000
335,0.2,180,30,34,1000,1000000,100000
336,0.3,180,30,34,1000,1000000,100000
337,0.4,180,30,34,1000,1000000,100000
338,0.5,180,30,34,1000,1000000,100000
339,0.6,180,30,34,1000,1000000,100000
340,0.7,180,30,34,1000,1000000,100000
341,0.8,180,30,34,1000,1000000,100000
342,0.9,180,30,34,1000,1000000,100000
343,0.1,190,30,34,1000,1000000,100000
344,0.2,190,30,34,1000,1000000,100000
345,0.3,190,30,34,1000,1000000,100000
346,0.4,190,30,34,1000,1000000,100000
347,0.5,190,30,34,1000,1000000,100000
348,0.6,190,30,34,1000,1000000,100000
349,0.7,190,30,34,1000,1000000,100000
350,0.8,190,30,34,1000,1000000,100000
351,0.9,190,30,34,1000,1000000,100000
352,0.1,200,30,34,1000,1000000,100000
353,0.2,200,30,34,1000,1000000,100000
354,0.3,200,30,34,1000,1000000,100000
355,0.4,200,30,34,1000,1000000,100000
356,0.5,200,30,34,1000,1000000,100000
357,0.6,200,30,34,1000,1000000,100000
358,0.7,200,30,34,1000,1000000,100000
359,0.8,200,30,34,1000,1000000,100000
360,0.9,200,30,34,1000,1000000,100000
361,0.1,10,60,34,1000,1000000,100000
362,0.2,10,60,34,1000,1000000,100000
363,0.3,10,60,34,1000,1000000,100000
364,0.4,10,60,34,1000,1000000,100000
