yc0,P0,ycf,Pf,rhoco,rhome
0.2,175,0.17528267124387775,-115.19589899385606,0.0008052077,0.0037885590100000003
0.2,180,0.16809774079327858,520.1897845673624,0.0007794237200000001,0.0038573055799999995
0.2,185,0.17401218210998842,215.02328657640916,0.0008229324900000001,0.00390623348
0.2,190,0.16661535522702509,202.0036975036844,0.00079089472,0.003955935
0.2,195,0.16005736524174763,170.51911246987632,0.0007711984199999999,0.0040470642
0.2,200,0.17398637877690784,192.8889134327022,0.0008653468899999999,0.0041083004499999996
0.3,5,0.301679745350144,5.010496947475634,3.481930000000001e-05,8.059879e-05
0.3,10,0.3041660550548388,9.984334459860895,7.063998999999999e-05,0.00016160154000000002
0.3,15,0.2998165209776518,15.133578005073122,0.00010642334,0.00024853822
0.3,20,0.3013039232533563,20.367632151706417,0.00014640674000000002,0.00033950376
0.3,25,0.30006996242861805,24.938493013034453,0.00018067908000000003,0.00042144409999999997
0.3,30,0.2979615969360148,31.165583786158145,0.00022382547999999999,0.0005273635400000001
0.3,35,0.3126386187548159,36.02294035086057,0.00027656232,0.0006080447100000001
0.3,40,0.29963173200627496,40.01821054213161,0.00029949993,0.00070006019
0.3,45,0.30298533721421667,45.91168558621192,0.000348892,0.00080262247
0.3,50,0.30192542558574575,50.29715060018341,0.00038808631000000006,0.0008972851
0.3,55,0.30533874449985,54.82750692547398,0.00043333255999999996,0.0009858537300000002
0.3,60,0.3023490741423123,78.20209092620722,0.00047060698999999993,0.00108589518
0.3,65,0.29829162063212117,64.97475671544882,0.0005144531,0.00121021184
0.3,70,0.30697440008438953,70.43845809657604,0.00058154861,0.00131290451
0.3,75,0.29651953147077187,74.01782650564904,0.0005859814800000001,0.00139021711
0.3,80,0.306154707543495,78.68420072127225,0.00066958853,0.00151750353
0.3,85,0.293854274344255,82.72103694134545,0.00067560013,0.00162349908
0.3,90,0.30514184659390486,88.76224222043365,0.0007388375700000001,0.00168245462
0.3,95,0.2920294697854372,34.838193637768846,0.00073626566,0.00178493763
0.3,100,0.29092839703008483,96.46673257690681,0.00079324432,0.00193335208
0.3,105,0.28981432764384574,101.92586066204058,0.00083344982,0.00204235631
0.3,110,0.29128360857462304,105.68344368675916,0.0008967104399999999,0.0021817684499999997
0.3,115,0.2741288804532342,106.64996489898287,0.0008591673,0.0022750055700000004
0.3,120,0.2826758768434586,117.32768615263248,0.00094661188,0.00240214179
0.3,125,0.27542692345734593,117.57720146043943,0.0009412583400000001,0.0024761938399999995
0.3,130,0.27546258193243234,148.35859058995788,0.00098425401,0.00258884112
0.3,135,0.27155819683261057,146.20115913287623,0.00100615758,0.00269896932
0.3,140,0.2812035201770905,134.07702164098276,0.00107042308,0.00273615473
0.3,145,0.2711038812408626,132.57609817525008,0.0010340030099999999,0.00278004423
0.3,150,0.2762314095759303,132.1641288922666,0.00112330343,0.00294322699
0.3,155,0.26843429823294035,139.4812544401251,0.0011235703400000001,0.0030620733999999995
0.3,160,0.27046888373258454,170.72865030885296,0.0011443018899999998,0.00308650601
0.3,165,0.26326808012631253,-4537.221669660768,0.00113584971,0.00317857272
0.3,170,0.27051377568892215,142.87679656617232,0.00118846537,0.00320489821
0.3,175,0.2622619761459844,167.63126427132025,0.00119343216,0.0033571023
0.3,180,0.2661211594995725,163.48633028537142,0.0012434845000000002,0.0034291409400000004
